10,214049697501.000000
20,214107564049.000000
30,214107816039.000000
20,214107853037.000000
30,214108052029.000000
20,214108095027.000000
30,214108114026.000000
20,214108318017.000000
30,214108341016.000000
20,214109835953.000000
30,214110357931.000000
20,214110572922.000000
30,214110597921.000000
20,214110616920.000000
30,214110820911.000000
20,214110843910.000000
30,214110859910.000000
20,214111061901.000000
30,214111084900.000000
20,214111103899.000000
30,214111301891.000000
20,214111327890.000000
30,214111344889.000000
20,214111541881.000000
30,214111565880.000000
20,214111585879.000000
30,214111781871.000000
20,214111810869.000000
30,214111827869.000000
20,214112028860.000000
30,214112052859.000000
20,214112072858.000000
30,214112264850.000000
20,214112297849.000000
30,214112315848.000000
20,214112510840.000000
30,214112537839.000000
20,214112557838.000000
30,214112738830.000000
20,214112776828.000000
30,214112795828.000000
20,214112987819.000000
30,214113017818.000000
20,214113039817.000000
30,214113053817.000000
20,214113259808.000000
30,214113279807.000000
20,214113298806.000000
30,214113505798.000000
20,214113530796.000000
30,214113738788.000000
20,214113767786.000000
30,214113785786.000000
20,214113993777.000000
30,214114018776.000000
20,214114037775.000000
30,214114248766.000000
20,214114274765.000000
30,214114476756.000000
20,214114510755.000000
30,214114527754.000000
20,214114726746.000000
30,214114751745.000000
20,214114770744.000000
30,214114965736.000000
20,214114996734.000000
30,214115013734.000000
20,214115212725.000000
30,214115238724.000000
20,214115258723.000000
30,214115453715.000000
20,214115482714.000000
30,214115499713.000000
20,214115696705.000000
30,214115723704.000000
20,214115742703.000000
30,214115935695.000000
20,214115965693.000000
30,214115981693.000000
20,214116174684.000000
30,214116203683.000000
20,214116225682.000000
30,214116418674.000000
20,214116451673.000000
30,214116470672.000000
20,214116667664.000000
30,214116694662.000000
20,214116714662.000000
30,214116905654.000000
20,214116939652.000000
30,214116956651.000000
20,214117150643.000000
30,214117179642.000000
20,214117198641.000000
30,214117382633.000000
20,214117422632.000000
30,214117441631.000000
20,214117639622.000000
30,214117667621.000000
20,214117687620.000000
30,214117883612.000000
20,214117917611.000000
30,214117935610.000000
20,214118142601.000000
30,214118167600.000000
20,214118187599.000000
30,214118381591.000000
20,214118407590.000000
30,214118423589.000000
20,214118616581.000000
30,214118642580.000000
20,214118662579.000000
30,214118855571.000000
20,214118885570.000000
30,214118903569.000000
20,214119098561.000000
30,214119127559.000000
20,214119147559.000000
30,214119339550.000000
20,214119371549.000000
30,214119388548.000000
20,214119585540.000000
30,214119613539.000000
20,214119633538.000000
30,214119822530.000000
20,214119855529.000000
30,214119873528.000000
20,214120308509.000000
30,214120343508.000000
20,214120544499.000000
30,214120573498.000000
20,214120594497.000000
30,214120787489.000000
20,214120821488.000000
30,214120839487.000000
20,214121038478.000000
30,214121065477.000000
20,214121086476.000000
30,214121282468.000000
20,214121312467.000000
30,214121329466.000000
20,214121528458.000000
30,214121553457.000000
20,214121574456.000000
30,214121768448.000000
20,214121798446.000000
30,214121815446.000000
20,214122015437.000000
30,214122040436.000000
20,214122059435.000000
30,214122256427.000000
20,214122284426.000000
30,214122301425.000000
20,214122499417.000000
30,214122524415.000000
20,214122544415.000000
30,214122739406.000000
20,214122768405.000000
30,214122785404.000000
20,214122979396.000000
30,214123004395.000000
20,214123027394.000000
30,214123221386.000000
20,214123248385.000000
30,214123267384.000000
20,214123460376.000000
30,214123486375.000000
20,214123505374.000000
30,214123687366.000000
20,214123728364.000000
30,214123746364.000000
20,214123939356.000000
30,214123968354.000000
20,214123987354.000000
30,214124175346.000000
20,214124208344.000000
30,214124226343.000000
20,214124420335.000000
30,214124448334.000000
20,214124469333.000000
30,214124485332.000000
20,214124691324.000000
30,214124710323.000000
20,214124899315.000000
30,214124932313.000000
20,214124955313.000000
30,214125142305.000000
20,214125175303.000000
30,214125193302.000000
20,214125210302.000000
30,214125410293.000000
20,214125434292.000000
30,214125450292.000000
20,214125650283.000000
30,214125674282.000000
20,214125695281.000000
30,214125888273.000000
20,214125915272.000000
30,214125932271.000000
20,214126131263.000000
30,214126156262.000000
20,214126176261.000000
30,214126372252.000000
20,214126401251.000000
30,214126418251.000000
20,214126613242.000000
30,214126639241.000000
20,214126659240.000000
30,214126849232.000000
20,214126885231.000000
30,214126904230.000000
20,214127093222.000000
30,214127123221.000000
20,214127145220.000000
30,214127161219.000000
20,214127365210.000000
30,214127385210.000000
20,214127405209.000000
30,214127603200.000000
20,214127627199.000000
30,214127644199.000000
20,214127843190.000000
30,214127867189.000000
20,214127886188.000000
30,214128089180.000000
20,214128121178.000000
30,214128138178.000000
20,214128342169.000000
30,214128364168.000000
20,214128382167.000000
30,214128583159.000000
20,214128607158.000000
30,214128622157.000000
20,214128822149.000000
30,214128847148.000000
20,214128866147.000000
30,214129066138.000000
20,214129093137.000000
30,214129110137.000000
20,214129313128.000000
30,214129335127.000000
20,214129356126.000000
30,214129554118.000000
