10,248862331536.000000
20,248899191601.000000
30,248899598590.000000
20,248901954531.000000
30,248902008529.000000
20,248902034529.000000
30,248902050528.000000
20,248902070528.000000
30,248902421519.000000
20,248902448518.000000
30,248902464518.000000
20,248902482517.000000
30,248902497517.000000
20,248902514517.000000
30,248902859508.000000
20,248902896507.000000
30,248902914506.000000
20,248902932506.000000
30,248902947506.000000
20,248902964505.000000
30,248902977505.000000
20,248903329496.000000
30,248903352495.000000
20,248903371495.000000
30,248903386494.000000
20,248903404494.000000
30,248903417494.000000
20,248903762485.000000
30,248903794484.000000
20,248903815484.000000
30,248903831483.000000
20,248903848483.000000
30,248903862482.000000
20,248903879482.000000
30,248904224473.000000
20,248904251472.000000
30,248904267472.000000
20,248904285472.000000
30,248904300471.000000
20,248904317471.000000
30,248904657462.000000
20,248904698461.000000
30,248904715461.000000
20,248904734460.000000
30,248904749460.000000
20,248904765459.000000
30,248904779459.000000
20,248905132450.000000
30,248905157449.000000
20,248905178449.000000
30,248905193449.000000
20,248905211448.000000
30,248905224448.000000
20,248905568439.000000
30,248905598438.000000
20,248905620438.000000
30,248905635437.000000
20,248905653437.000000
30,248905668436.000000
20,248905684436.000000
30,248906034427.000000
20,248906060427.000000
30,248906075426.000000
20,248906093426.000000
30,248906107425.000000
20,248906124425.000000
30,248906452417.000000
20,248906493416.000000
30,248906512415.000000
20,248906531415.000000
30,248906546414.000000
20,248906564414.000000
30,248906577413.000000
20,248906929405.000000
30,248906956404.000000
20,248906977403.000000
30,248906992403.000000
20,248907010402.000000
30,248907024402.000000
20,248907366393.000000
30,248907397393.000000
20,248907418392.000000
30,248907433392.000000
20,248907451391.000000
30,248907465391.000000
20,248907482390.000000
30,248907830382.000000
20,248907863381.000000
30,248907881380.000000
20,248907899380.000000
30,248907914380.000000
20,248907931379.000000
30,248908271370.000000
20,248908311369.000000
30,248908328369.000000
20,248908347369.000000
30,248908361368.000000
20,248908379368.000000
30,248908392367.000000
20,248908746358.000000
30,248908772358.000000
20,248908792357.000000
30,248908807357.000000
20,248908825356.000000
30,248908839356.000000
20,248909179347.000000
30,248909209347.000000
20,248909231346.000000
30,248909246346.000000
20,248909264345.000000
30,248909278345.000000
20,248909295344.000000
30,248909642336.000000
20,248909675335.000000
30,248909692334.000000
20,248909710334.000000
30,248909725334.000000
20,248909742333.000000
30,248910206321.000000
20,248910246320.000000
30,248910264320.000000
20,248910283319.000000
30,248910298319.000000
20,248910316319.000000
30,248910666310.000000
20,248910699309.000000
30,248910717308.000000
20,248910735308.000000
30,248910750308.000000
20,248910766307.000000
30,248910780307.000000
20,248911135298.000000
30,248911158297.000000
20,248911178297.000000
30,248911193296.000000
20,248911211296.000000
30,248911225296.000000
20,248911575287.000000
30,248911605286.000000
20,248911627285.000000
30,248911643285.000000
20,248911661284.000000
30,248911675284.000000
20,248912012276.000000
30,248912045275.000000
20,248912068274.000000
30,248912084274.000000
20,248912101273.000000
30,248912115273.000000
20,248912133272.000000
30,248912479264.000000
20,248912513263.000000
30,248912530262.000000
20,248912549262.000000
30,248912563262.000000
20,248912581261.000000
30,248912595261.000000
20,248912953252.000000
30,248912974251.000000
20,248912994251.000000
30,248913008250.000000
20,248913026250.000000
30,248913040249.000000
20,248913394240.000000
30,248913419240.000000
20,248913440239.000000
30,248913455239.000000
20,248913472239.000000
30,248913487238.000000
20,248913834229.000000
30,248913863229.000000
20,248913883228.000000
30,248913899228.000000
20,248913917227.000000
30,248913931227.000000
20,248913948226.000000
30,248914301217.000000
20,248914329217.000000
30,248914345216.000000
20,248914365216.000000
30,248914380215.000000
20,248914398215.000000
30,248914743206.000000
20,248914774205.000000
30,248914792205.000000
20,248914810205.000000
30,248914824204.000000
20,248914842204.000000
30,248914856203.000000
20,248915218194.000000
30,248915237194.000000
20,248915256193.000000
30,248915271193.000000
20,248915288192.000000
30,248915304192.000000
20,248915664183.000000
30,248915690182.000000
20,248915711182.000000
30,248915727181.000000
20,248915744181.000000
30,248915758181.000000
20,248916102172.000000
30,248916130171.000000
20,248916151171.000000
30,248916166170.000000
20,248916184170.000000
30,248916198169.000000
20,248916214169.000000
30,248916564160.000000
20,248916592159.000000
30,248916609159.000000
20,248916627158.000000
30,248916642158.000000
20,248916660158.000000
30,248917006149.000000
20,248917039148.000000
30,248917056148.000000
20,248917075147.000000
30,248917090147.000000
20,248917107146.000000
30,248917444138.000000
20,248917489137.000000
30,248917507136.000000
20,248917527136.000000
30,248917541135.000000
20,248917559135.000000
30,248917574134.000000
20,248917936125.000000
30,248917957125.000000
20,248917976124.000000
30,248917991124.000000
20,248918009123.000000
30,248918023123.000000
20,248918373114.000000
30,248918400113.000000
20,248918421113.000000
30,248918437113.000000
20,248918455112.000000
30,248918469112.000000
20,248918812103.000000
30,248918843102.000000
20,248918865102.000000
30,248918881101.000000
20,248918899101.000000
30,248918914100.000000
20,248918931100.000000
30,248919282091.000000
20,248919311090.000000
30,248919328090.000000
20,248919346089.000000
30,248919360089.000000
20,248919378089.000000
30,248919714080.000000
20,248919748079.000000
30,248919767079.000000
20,248919787078.000000
30,248919802078.000000
20,248919819077.000000
30,248919833077.000000
20,248920227067.000000
30,248920251067.000000
20,248920271066.000000
30,248920285066.000000
20,248920302065.000000
30,248920316065.000000
20,248920678056.000000
30,248920700055.000000
20,248920721055.000000
30,248920735054.000000
